,0,1,2,3,4,5
0,3392,明城新村桂花园,奉贤,价格待定,住宅,未开盘
1,3393,天和尚海庭前,奉贤,50000,别墅,在售
2,3394,中核锦悦府,青浦,58000,住宅,在售
3,3395,乐活居,普陀,93000,住宅,在售
4,3396,中骏天珑,青浦,58000,住宅,在售
5,3397,新城虹口金茂府,虹口,102000,住宅,在售
6,3398,保利玲玥公馆,奉贤,19500,住宅,在售
7,3399,复地富顿街区,松江,42000,住宅,在售
8,3400,复地富顿街区,松江,价格待定,别墅,未开盘
9,3401,合景天悦,松江,49500,住宅,在售
10,3402,翠湖天地隽荟,黄浦,160000,住宅,售罄
11,3403,金臣汇,闵行,1871,住宅,售罄
12,3404,华亭首府,松江,价格待定,别墅,售罄
13,3405,徐汇公园道壹号,徐汇,价格待定,住宅,售罄
14,3406,万科安亭新镇,嘉定,31800,住宅,售罄
15,3407,正阳世纪星城,奉贤,价格待定,住宅,售罄
16,3408,大华碧云天,宝山,价格待定,住宅,售罄
17,3409,西上海御庭,嘉定,32000,住宅,售罄
18,3410,保利艾庐,浦东,价格待定,别墅,售罄
19,3411,万科金域澜湾,浦东,价格待定,别墅,售罄
20,3412,中鹰黑森林,普陀,120000,住宅,在售
21,3413,万源城御璄,闵行,85000,住宅,在售
22,3414,君悦湾墅,青浦,53000,别墅,在售
23,3415,象屿上海年华,松江,46000,住宅,在售
24,3416,湖畔天下,嘉定,47000,住宅,在售
25,3417,祥和王宫,普陀,118000,别墅,在售
26,3418,华侨城苏河湾(公寓),静安,190000,住宅,在售
27,3419,恒大御景湾,嘉定,45000,住宅,在售
28,3420,紫都上海晶园,松江,3000,别墅,在售
29,3421,御品园林,青浦,65000,别墅,在售
30,3422,青浦万达茂,青浦,28000,商业类,在售
31,3423,临港十七区,浦东,60000,商业,在售
32,3424,星尚湾名邸,青浦,55000,别墅,在售
33,3425,三迪上东街,松江,60000,商业,在售
34,3426,凯德星贸邸,静安,122000,住宅,未开盘
35,3427,复地雅园,黄浦,126000,住宅,在售
36,3428,五坊园,黄浦,111000,住宅,在售
37,3429,四季都会,宝山,43000,住宅,在售
38,3430,信达泰禾上城院子,宝山,52500,住宅,在售
39,3431,中海臻如府,普陀,95000,住宅,在售
40,3432,贝尚湾,松江,价格待定,住宅,下期待开
41,3433,长风瑞仕璟庭,普陀,价格待定,住宅,下期待开
42,3434,海伦堡兰园,松江,35000,住宅,在售
43,3435,古北尚郡,闵行,71000,住宅,在售
44,3436,原筑江南,奉贤,42500,别墅,在售
45,3437,中旭广场,闵行,41000,商业,在售
46,3438,绿地海越,宝山,38000,写字楼,在售
47,3439,静安新城商铺,闵行,60000,商业,在售
48,3440,陆家嘴滴水涟岸,浦东,29000,住宅,在售
49,3441,陆家嘴滴水涟岸,浦东,34000,别墅,在售
50,3442,宝龙世家,浦东,150,商业,在售
51,3443,中惠金钻天地,浦东,50000,商业,在售
52,3444,远洋财富中心,浦东,28000,写字楼,在售
53,3445,远洋财富中心,浦东,50000,商业,在售
54,3446,高桥红坊,浦东,85000,商业,在售
55,3447,虹桥富力中心,闵行,100000,商业,在售
56,3448,东渡悦来城,青浦,50000,商业,在售
57,3449,中南锦庭,奉贤,35000,商业,在售
58,3450,平高世贸中心,松江,28000,写字楼,在售
59,3451,一品漫城(五期),闵行,58000,商业,在售
60,3452,淮海名邸,长宁,130000,住宅,在售
61,3453,金臣别墅,闵行,120000,别墅,在售
62,3454,嘉天汇,静安,价格待定,住宅,未开盘
63,3455,西郊庄园马德里洋房,闵行,72000,住宅,在售
64,3456,海湾国际名苑,奉贤,550,别墅,在售
65,3457,香水湾,青浦,65000,别墅,在售
66,3458,英庭名墅,青浦,74000,别墅,在售
67,3459,颐湾丽庭,青浦,35000,别墅,在售
68,3460,天和前滩时代,奉贤,30600,住宅,在售
69,3461,万科翡翠滨江(一期),浦东,3010,住宅,在售
70,3462,大华公园城市,宝山,57200,住宅,在售
71,3463,泰府名邸,静安,121800,住宅,在售
72,3464,上海新环广场,浦东,45000,商业,在售
73,3465,保利云上,嘉定,53900,住宅,在售
74,3466,康馨悦生活广场,青浦,20000,商业,在售
75,3467,宝厦文璟苑,宝山,53000,住宅,在售
76,3468,浦发东悦城,浦东,41000,住宅,在售
77,3469,当代万国府MOMA,闵行,80000,商业,在售
78,3470,龙湖星图,松江,19000,商业类,在售
79,3471,山水拾间,崇明,33000,别墅,在售
80,3472,一品漫城四期,闵行,60000,商业,在售
81,3473,公元2040,浦东,44000,住宅,在售
82,3474,环创中心,杨浦,68000,写字楼,在售
83,3475,骏丰嘉峰汇,嘉定,46000,商业,在售
84,3476,虹桥宝龙城,青浦,40000,商业,在售
85,3477,平安四季,奉贤,38000,商业,在售
86,3478,森兰美奂,浦东,35000,写字楼,在售
87,3479,嘉誉都汇国际,杨浦,价格待定,写字楼,售罄
88,3480,龙湖天璞雅筑,嘉定,47000,住宅,售罄
89,3481,凤凰城天境,奉贤,价格待定,住宅,售罄
90,3482,万科金域澜湾,浦东,价格待定,住宅,售罄
91,3483,招商中环华府,宝山,56500,住宅,售罄
92,3484,招商中环华府,宝山,748,别墅,售罄
93,3485,深城投十一街区,嘉定,40000,住宅,售罄
94,3486,绿地天呈,嘉定,641,住宅,售罄
95,3487,宝华源墅,闵行,价格待定,别墅,售罄
96,3488,尼德兰官邸,浦东,41000,住宅,售罄
97,3489,临港首府,浦东,600,别墅,售罄
98,3490,陆家嘴壹号院,浦东,128000,住宅,售罄
99,3491,阳光城滨江悦,杨浦,100000,住宅,售罄
100,3492,中信广场,虹口,81000,写字楼,在售
101,3493,汉石丽苑休闲广场,闵行,45000,商业,在售
102,3494,静安康鑫家园,静安,90000,住宅,在售
103,3495,长江国际购物中心,宝山,56700,商业,在售
104,3496,青浦万达茂,青浦,50000,商业,在售
105,3497,万科七宝国际,闵行,40000,写字楼,在售
106,3498,新华联国际中心,闵行,18700,写字楼,在售
107,3499,中建锦绣天地(商铺),青浦,90000,商业,在售
108,3500,源昌幸福里,青浦,60000,商业,在售
109,3501,金山万达海汇街,金山,25000,商业,在售
110,3502,九城家天下新座,松江,1025,别墅,在售
111,3503,半岛君望,奉贤,60000,别墅,在售
112,3504,外滩·豪景苑,虹口,价格待定,住宅,下期待开
113,3505,安墁西郊,青浦,价格待定,别墅,未开盘
114,3506,尚海郦景,浦东,93000,住宅,在售
115,3507,九龙仓滨江壹十八,浦东,113000,住宅,在售
116,3508,嘉御庭,徐汇,128000,住宅,在售
117,3509,尼德兰官邸,浦东,1700,别墅,在售
118,3510,御岛财富,崇明,27000,住宅,在售
119,3511,新虹桥首府(别墅),松江,2800,别墅,在售
120,3512,天和商业广场,浦东,47000,商业,在售
121,3513,复地浦江中心,闵行,20000,写字楼,在售
122,3514,首创悦都,松江,32000,商业,在售
123,3515,银亿滨江中心,浦东,35000,商业,在售
124,3516,信达蓝尊,松江,88000,商业,在售
125,3517,上海万象企业中心,闵行,50000,写字楼,在售
126,3518,联仲都悦汇,闵行,800,别墅,在售
127,3519,西虹桥壹号,青浦,49000,商业,在售
128,3520,浦江华侨城8期,闵行,1230,别墅,在售
129,3521,绿地海珀黄浦,黄浦,100000,商业,在售
130,3522,中南江山美宸,崇明,价格待定,别墅,售罄
131,3523,中粮天悦壹号,静安,5378,住宅,售罄
132,3524,远洋万和四季,浦东,价格待定,住宅,售罄
133,3525,圣得恒业花园,闵行,价格待定,别墅,售罄
134,3526,嘉宝梦之缘景庭,嘉定,39000,住宅,售罄
135,3527,佳兆业城市广场,嘉定,29500,住宅,售罄
136,3528,中国铁建青秀城,宝山,38000,住宅,售罄
137,3529,上海庄园三期,嘉定,710,别墅,售罄
138,3530,臻水岸苑,青浦,1500,别墅,售罄
139,3531,艺泰一品花园,浦东,价格待定,住宅,售罄
140,3532,瑞虹新城悦庭,虹口,价格待定,住宅,售罄
141,3533,中粮前滩海景壹号,浦东,价格待定,住宅,售罄
142,3534,新华联奥莱悦府,青浦,价格待定,住宅,售罄
143,3535,园与墅,金山,17500,住宅,售罄
144,3536,龙柏8号,闵行,价格待定,住宅,售罄
145,3537,晶耀名邸,浦东,价格待定,住宅,售罄
146,3538,新华联奥莱悦府,青浦,价格待定,别墅,售罄
147,3539,万科安亭新镇,嘉定,33000,别墅,售罄
148,3540,尚海郦景,浦东,价格待定,别墅,售罄
149,3541,金地双都汇,松江,50000,别墅,售罄
150,3542,古北ONE,长宁,100000,住宅,在售
151,3543,兆地生活广场,嘉定,70000,商业,在售
152,3544,上影广场,嘉定,40000,商业,未开盘
153,3545,上坤上街,宝山,45000,商业,在售
154,3546,象屿上海年华,松江,330,商业,在售
155,3547,青浦万达茂,青浦,21000,写字楼,在售
156,3548,大名城紫金九号2期,浦东,62500,住宅,在售
157,3549,中茂世纪财富广场,嘉定,13000,商业,在售
158,3550,紫竹半岛花园,闵行,57000,住宅,未开盘
159,3551,东方懿德城,浦东,70000,商业,在售
160,3552,禹洲城市广场,浦东,21000,商业,在售
161,3553,星街坊浦江生活馆,闵行,50000,商业,在售
162,3554,古城新苑,金山,35000,商业,在售
163,3555,盘古园府,嘉定,41000,住宅,在售
164,3556,金山红星国际广场,金山,20000,商业,在售
165,3557,中粮南桥锦云,奉贤,36600,住宅,在售
166,3558,浦江坤庭—枫郡,闵行,60000,住宅,在售
167,3559,浦江坤庭—紫郡,闵行,58000,住宅,在售
168,3560,泰禾红御,宝山,80000,商业,在售
169,3561,绿都绣云里,浦东,75000,商业,在售
170,3562,骏丰玲珑坊,嘉定,46000,住宅,在售
171,3563,安亭中央公园,嘉定,32000,住宅,在售
172,3564,棕榈滩高尔夫别墅,奉贤,35000,别墅,未开盘
173,3565,嘉业海悦苑,奉贤,价格待定,别墅,未开盘
174,3566,同润蓝美俊庭,浦东,500,别墅,在售
175,3567,万顺水原墅(别墅),闵行,60000,别墅,在售
176,3568,一品漫城四期,闵行,3200,别墅,在售
177,3569,同润玫瑰园,松江,1361,别墅,在售
178,3570,融创外滩壹号院,黄浦,125000,住宅,在售
179,3571,通用昱墅,崇明,1200,别墅,在售
180,3572,华虹家园,崇明,19000,住宅,在售
181,3573,万科西郊都会,嘉定,37000,住宅,在售
182,3574,万科西郊都会,嘉定,41000,别墅,在售
183,3575,光明·金山府,金山,26000,住宅,在售
184,3576,万科青藤公园,闵行,46000,住宅,在售
185,3577,上南嘉园,浦东,47000,住宅,在售
186,3578,云汉富颐苑,浦东,28000,商业,在售
187,3579,上海富力环球中心,闵行,75000,商业,在售
188,3580,新城虹口金茂府,虹口,122000,别墅,在售
189,3581,大学里,嘉定,36000,别墅,在售
190,3582,中粮海景壹号,浦东,价格待定,住宅,售罄
191,3583,新城上坤樾山璟里,松江,833,别墅,售罄
192,3584,上海西环中心星信名邸,嘉定,44700,住宅,售罄
193,3585,正荣璟园,金山,价格待定,别墅,售罄
194,3586,佳兆业君汇上品,青浦,31000,住宅,售罄
195,3587,中南君悦府,青浦,41000,别墅,售罄
196,3588,金地世家,嘉定,42000,住宅,售罄
197,3589,中环国际公寓(三期),宝山,56000,住宅,售罄
198,3590,宝龙世家,浦东,23500,住宅,售罄
199,3591,尚景丽园,浦东,价格待定,住宅,售罄
200,3592,华谊逸品澜湾,嘉定,价格待定,住宅,售罄
201,3593,嘉和美苑,浦东,28000,住宅,售罄
202,3594,桐南美麓,奉贤,33000,住宅,售罄
203,3595,盛世荟庭,浦东,价格待定,住宅,售罄
204,3596,前滩东方逸品,浦东,价格待定,住宅,售罄
205,3597,新里波洛克公馆,青浦,价格待定,住宅,售罄
206,3598,桐南美麓,奉贤,31500,别墅,售罄
207,3599,融创壹号公馆,松江,价格待定,住宅,售罄
208,3600,西虹桥壹号,青浦,42000,住宅,售罄
209,3601,金融街融府,静安,价格待定,住宅,售罄
210,3602,金浩园,杨浦,91000,住宅,在售
211,3603,嘉永南北干货市场,嘉定,55000,商业,在售
212,3604,依云湖,金山,18432,住宅,在售
213,3605,东亚阳光里,浦东,35000,商业,在售
214,3606,云著深蓝,松江,43000,住宅,在售
215,3607,金臣颐墅,青浦,71000,别墅,在售
216,3608,光语著,奉贤,32000,住宅,在售
217,3609,和源中环企业广场,静安,45000,写字楼,在售
218,3610,虹桥玫瑰公馆,青浦,43000,住宅,在售
219,3611,碧林湾,闵行,65000,住宅,在售
220,3612,合生东郊别墅二期,浦东,140000,别墅,在售
221,3613,中展璞荟,松江,67000,商业,在售
222,3614,虹桥富力中心,闵行,65000,写字楼,在售
223,3615,融信绿地国际中心,闵行,39000,写字楼,在售
224,3616,华园,长宁,100000,住宅,在售
225,3617,中铁诺德国际,闵行,57000,商业,在售
226,3618,中铁诺德国际,闵行,34000,写字楼,在售
227,3619,同润圣塔路斯,松江,1600,别墅,在售
228,3620,海伦堡爱ME城市,嘉定,29000,商业,在售
229,3621,保利翡丽公馆,松江,600,商业,在售
230,3622,东郊壹号,浦东,20000,别墅,在售
231,3623,华府天地愉园,闵行,52000,别墅,在售
232,3624,八埭头滨江园,杨浦,99240,住宅,在售
233,3625,建邦16区,虹口,98000,住宅,在售
234,3626,一品漫城(五期),闵行,66000,住宅,在售
235,3627,静安府东区,静安,86000,住宅,未开盘
236,3628,天和尚上海,奉贤,25300,住宅,在售
237,3629,同润金色橘苑,浦东,25000,住宅,在售
238,3630,华发四季,浦东,67000,住宅,在售
239,3631,湖山香颂湾,金山,31000,住宅,在售
240,3632,万科金域澜湾鹭语墅,浦东,35000,别墅,未开盘
241,3633,禹洲雍锦府,奉贤,32000,住宅,在售
242,3634,海玥瑄邸,浦东,33000,住宅,在售
243,3635,瑞虹新城天悦郡庭,虹口,107000,住宅,未开盘
244,3636,和欣国际花园,宝山,56000,住宅,未开盘
245,3637,福晟前滩钱隆广场,浦东,80000,写字楼,未开盘
246,3638,英庭名墅,青浦,58000,住宅,在售
247,3639,绿宝园,浦东,2000,别墅,在售
248,3640,绿宝园,浦东,61000,住宅,在售
249,3641,虹桥融景,青浦,58000,住宅,在售
250,3642,大华斐勒公园,浦东,2000,别墅,售罄
251,3643,中骏天悦,普陀,95000,住宅,售罄
252,3644,金地双都汇,松江,45000,住宅,售罄
253,3645,新城盛世,青浦,41000,住宅,售罄
254,3646,金地玺湾,松江,41000,住宅,售罄
255,3647,保利建工西郊锦庐,青浦,50000,别墅,售罄
256,3648,绿地天呈,嘉定,42000,别墅,售罄
257,3649,御龙名邸,金山,22000,住宅,售罄
258,3650,华润中央公园(浩翔路98弄),嘉定,47000,住宅,售罄
259,3651,淡水湾花园,黄浦,价格待定,住宅,售罄
260,3652,大发融悦四季,青浦,40000,住宅,售罄
261,3653,金虹桥井亭苑,闵行,价格待定,住宅,售罄
262,3654,吉嘉广场,嘉定,价格待定,商业,售罄
263,3655,恒越生活广场,浦东,价格待定,商业,售罄
264,3656,舜喜大厦,嘉定,价格待定,写字楼,售罄
265,3657,大发融悦,青浦,50000,商业,售罄
266,3658,森兰美伦,浦东,35000,写字楼,售罄
267,3659,晶尚坊,松江,30000,商业,售罄
268,3660,闻喜华庭,静安,90000,商业,售罄
269,3661,中国铁建青秀城,宝山,价格待定,商业,售罄
270,3662,项山商业广场,松江,40000,商业,在售
271,3663,宝地佘山1号,松江,41000,住宅,在售
272,3664,万科翡翠滨江（二期）,浦东,110000,住宅,在售
273,3665,绿地壹号街,嘉定,37000,商业,在售
274,3666,龙德景苑,徐汇,125000,住宅,在售
275,3667,日月光伯爵湾,嘉定,38000,别墅,在售
276,3668,邑滨江,浦东,121000,住宅,在售
277,3669,安高东方御府,嘉定,48000,商业,在售
278,3670,圣骊河滨苑,杨浦,90000,住宅,在售
279,3671,浦开·世纪珑墅,浦东,107000,别墅,在售
280,3672,七宝宝龙城,闵行,115000,商业,在售
281,3673,七宝宝龙城,闵行,41000,写字楼,在售
282,3674,佳兆业城市广场(商业类),嘉定,30000,商业,在售
283,3675,两港壹号铺,浦东,30000,商业,在售
284,3676,金地自在城（三期）,松江,57000,商业,在售
285,3677,新城璞樾门第,青浦,45800,别墅,在售
286,3678,华泰中心,嘉定,2000,写字楼,在售
287,3679,新城上坤樾山半岛,松江,750,别墅,在售
288,3680,象源丽都,普陀,72000,住宅,在售
289,3681,绿地朱家角1号,青浦,620,别墅,在售
290,3682,景源名墅,奉贤,30000,别墅,在售
291,3683,虹桥融景,青浦,74000,别墅,在售
292,3684,嘉涛湾,青浦,1000,别墅,在售
293,3685,阳明花园广场,浦东,价格待定,住宅,未开盘
294,3686,东方别墅,浦东,130000,别墅,在售
295,3687,东亚威尼斯公馆,崇明,27999,住宅,在售
296,3688,合生广富汇(别墅),松江,55000,别墅,在售
297,3689,浦发罗兰翡丽,浦东,62659,住宅,在售
298,3690,沁和园,普陀,85400,住宅,在售
299,3691,富绅时代公馆,青浦,41000,住宅,在售
300,3692,光语著,奉贤,36000,别墅,在售
301,3693,首创禧悦风华,青浦,40183,住宅,在售
302,3694,东郊中心,浦东,100000,写字楼,在售
303,3695,中冶上河雅筑,宝山,42694,住宅,未开盘
304,3696,万科天空之城星之屿,青浦,57660,住宅,在售
305,3697,古北金鹰府,闵行,100000,商业,在售
306,3698,中企滨江悦府,浦东,115368,住宅,在售
307,3699,吴泾宝龙广场,闵行,29000,写字楼,在售
308,3700,海上湾鹭居,青浦,25000,住宅,在售
309,3701,愉光苑,松江,210,住宅,在售
310,3702,正荣御首府,金山,25000,住宅,售罄
311,3703,露香园,黄浦,价格待定,住宅,售罄
312,3704,万科公园大道,闵行,价格待定,住宅,售罄
313,3705,好世凤翔苑,嘉定,50000,住宅,售罄
314,3706,大发融悦,青浦,价格待定,住宅,售罄
315,3707,东亚阳光里,浦东,价格待定,住宅,售罄
316,3708,大豪山林别墅,青浦,3200,别墅,售罄
317,3709,中粮南桥半岛,奉贤,价格待定,住宅,售罄
318,3710,东方鸿璟,浦东,700,住宅,售罄
319,3711,泰禾红桥,青浦,38000,住宅,售罄
320,3712,汇金大厦,黄浦,价格待定,写字楼,售罄
321,3713,虹桥观邸,闵行,38000,写字楼,售罄
322,3714,中环协信天地,静安,3095,写字楼,售罄
323,3715,首创禧悦(二期),青浦,41000,住宅,售罄
324,3716,景瑞一公里,青浦,55000,商业,售罄
325,3717,惠南壹号街,浦东,价格待定,商业,售罄
326,3718,同济融创玫瑰公馆,闵行,69000,住宅,售罄
327,3719,宝龙城市广场(嘉定),嘉定,60000,商业,售罄
328,3720,松江颐景园(商铺),松江,价格待定,商业,售罄
329,3721,森兰美伦,浦东,47500,商业,售罄
330,3722,云麓里,浦东,44000,住宅,在售
331,3723,云麓里,浦东,55000,别墅,在售
332,3724,尚峰名邸,浦东,价格待定,商业,下期待开
333,3725,公元2040  叠加,浦东,600,别墅,在售
334,3726,钰丰商都,松江,25000,商业,在售
335,3727,恒文璞悦,青浦,41000,住宅,在售
336,3728,西虹桥·怀盛399广场,青浦,36000,商业,在售
337,3729,上海富力环球中心,闵行,75000,写字楼,在售
338,3730,国贸天悦佘山,松江,60000,底商,在售
339,3731,光明D9空间,嘉定,23000,商业,在售
340,3732,宝龙城市广场(奉贤),奉贤,55000,商业,在售
341,3733,中展璞荟,松江,32000,写字楼,在售
342,3734,中新传媒大厦,浦东,70000,商业,在售
343,3735,君领国际,浦东,138000,商业,在售
344,3736,静安府西区,静安,86000,住宅,在售
345,3737,中锐悦立方,金山,21000,商业,在售
346,3738,三弦海上金街,闵行,40000,商业,在售
347,3739,正荣国领(别墅),宝山,65000,别墅,在售
348,3740,上海星河湾,闵行,77000,住宅,在售
349,3741,颐盛御中环,浦东,61000,住宅,在售
350,3742,帕缇欧香苑,青浦,40000,住宅,在售
351,3743,步阳御江金都,嘉定,36000,住宅,在售
352,3744,一品漫城(三期),闵行,2500,别墅,在售
353,3745,碧桂园嘉誉,嘉定,33000,住宅,在售
354,3746,东亚启航公馆,浦东,36000,住宅,在售
355,3747,徐汇苑,徐汇,105000,住宅,在售
356,3748,古北金鹰府,闵行,价格待定,住宅,未开盘
357,3749,绿都绣云里,浦东,41000,住宅,在售
358,3750,临港首府,浦东,27000,住宅,在售
359,3751,铂金府,嘉定,40000,住宅,在售
360,3752,星月御中心,浦东,50000,写字楼,在售
